"key","de","en"
"members.restriction.refused","Zugang zur gewünschten Seite ist gesperrt.","You have no access rights to view the requested page."
"members.backend.visibility","Benutzerspezifische Seiten/Routen können im Backend nicht dargestellt werden.","user-specific documents/routes are disabled in backend."
"members.auth.login.username","Benutzername","Username"
"members.auth.login.password","Passwort","Password"
"members.auth.login.remember_me","Angemeldet bleiben","Remember me"
"members.auth.login.submit","Anmelden","Log In"
"members.profile.show.username","Benutzername","Username"
"members.profile.show.email","E-Mail","Email"
"members.profile.edit.submit","Benutzer aktualisieren","Update"
"members.profile.flash.updated","Das Benutzerprofil wurde aktualisiert.","The profile has been updated."
"members.change_password.submit","Passwort ändern","Change password"
"members.change_password.flash.success","Das Passwort wurde geändert.","The password has been changed."
"members.registration.check_email","Eine E-Mail wurde an %email% gesendet. Sie enthält einen Link, den Sie anklicken müssen, um Ihr Benutzerkonto zu bestätigen.","An email has been sent to %email%. It contains an activation link you must click to activate your account."
"members.registration.check_admin","Ihr Account wurde erfolgreich erstellt und wird so schnell wie möglich von einem Administrator freigeschaltet.","Your account was created successfully and must be activated by site stuff."
"members.registration.confirmed","Glückwunsch %username%, Ihr Benutzerkonto ist jetzt bestätigt.","Congrats %username%, your account is now activated."
"members.registration.back","Zurück zur ursprünglichen Seite.","Back to the originating page."
"members.registration.submit","Registrieren","Register"
"members.registration.flash.user_created","Der Benutzer wurde erfolgreich erstellt.","The user has been created successfully."
"members.resetting.check_email","Eine E-Mail wurde verschickt. Sie beinhaltet einen Link zum Zurücksetzen des Passwortes. Hinweis: Ein neues Passwort kann nur alle %tokenLifetime% Stunden beantragt werden. Eventuell wurde diese E-Mail als Spam markiert, wenn sie nicht angekommen ist.","An email has been sent. It contains a link you must click to reset your password. Note: You can only request a new password once within %tokenLifetime% hours. If you don't get an email check your spam folder or try again."
"members.resetting.request.username","Benutzername oder E-Mail-Adresse","Username or email address"
"members.resetting.request.submit","Passwort zurücksetzen","Reset password"
"members.resetting.reset.submit","Passwort ändern","Change password"
"members.resetting.flash.success","Das Passwort wurde erfolgreich zurückgesetzt.","The password has been reset successfully."
"members.delete_account.submit","Account löschen","Delete account"
"members.layout.logout","Abmelden","Log out"
"members.layout.login","Anmelden","Log In"
"members.layout.register","Registrieren","Register"
"members.layout.logged_in_as","Angemeldet als %username%","Logged in as %username%"
"members.form.username","Benutzername","Username"
"members.form.email","E-Mail-Adresse","Email"
"members.form.current_password","Derzeitiges Passwort","Current password"
"members.form.current_password_confirmation","Passwort bestätigen","Repeat password"
"members.form.password","Passwort","Password"
"members.form.password_confirmation","Passwort bestätigen","Repeat password"
"members.form.new_password","Neues Passwort","New password"
"members.form.new_password_confirmation","Neues Passwort bestätigen","Repeat new password"
"members.form.delete_account.confirm","Ja, ich möchte meinen Benutzeraccount löschen","Yes, I want to delete my account"
